"","Study_ID","Site_ID","broad_outcome","detailed_outcome","is_subset","use_for_first_analysis","use_for_trophic_analysis","Highest_taxonomic_resolution","sampling_season","disturbance_type","comparison_type","disturbance_av","control_av","dist_var","control_var","var_type","dist_n","control_n","above_below","perc_annual_dist","time_after_dist_start","Country","Validity","Functional_group_size.y","body_length.y","body_width_taxa","mean_width","control_SD","dist_SD","lat","lon","trophic_to_use","exoskeleton","trap","study_year","cv_Control","cv_Experimental","geary_control","geary_trt","geary_test","lnrr_laj","v_lnrr_laj","yi","vi","rr_diff","sei","e_n","inv_n_tilda","sqrt_inv_n_tilda","aridity"
"1","Ashton_2019a","Ashton_2019a_1","abundance","abundance",FALSE,TRUE,TRUE,"Isoptera",NA,"drought","undisturbed vs disturbed",42.01149425,22.03065134,18.01117,10.85013,"SD",8,8,"belowground",-60,910,"Malaysia","Low validity","mesofauna","Blattodea","Isoptera",2.1448,10.85013,18.01117,4.74583333333333,116.972222222222,"detritivore","yes","Other",2019,0.492501553065748,0.428720052012908,11.1379027936139,12.794909867162,"pass",0.641836220989021,0.053656618163136,0.64550852703741,0.0532948328462656,0.00367230604838908,0.230856736627428,16,0.25,0.5,1.564
"2","Aslam_2015a","Aslam_2015a_1","abundance","abundance",FALSE,TRUE,TRUE,"Mesostigmata","Autumn","precip_inc","undisturbed vs disturbed",2372.262774,1605.839416,1350.364964,711.6788321,"SE",4,4,"belowground",0.268456400000005,365,"Australia","Medium validity","mesofauna","Mesostigmata","Mesostigmata",2.1,1423.3576642,2700.729928,-33.6108333333333,150.742222222222,"predator","yes","Other",2015,0.886363636374959,1.13846153874689,4.24736048260035,3.30683624718388,"pass",0.454004408545424,0.556325861459006,0.390197636130663,0.520433792773443,0.0638067724147614,0.721410973560454,8,0.5,0.707106781186548,0.5216
"3","Aslam_2015a","Aslam_2015a_1","abundance","abundance",FALSE,TRUE,FALSE,"Nematoda","Autumn","precip_inc","undisturbed vs disturbed",8211.206897,7047.413793,1681.034483,1099.137931,"SE",4,4,"belowground",0.268456400000005,365,"Australia","Medium validity","microfauna","Nematoda","Nematoda",0.0634,2198.275862,3362.068966,-33.6108333333333,150.742222222222,NA,"no","Other",2015,0.31192660549938,0.409448818934077,12.0692041524506,9.19457013492832,"pass",0.161632970312238,0.0668237122841201,0.15283920429872,0.0662366356362192,0.00879376601351819,0.257364790980078,8,0.5,0.707106781186548,0.5216
"4","Aslam_2015a","Aslam_2015a_1","abundance","abundance",FALSE,TRUE,FALSE,"Oribatida","Autumn","precip_inc","undisturbed vs disturbed",2201.183432,2153.846154,2106.508876,1183.431953,"SE",4,4,"belowground",0.268456400000005,365,"Australia","Medium validity","mesofauna","Oribatida","Acari",1.1158,2366.863906,4213.017752,-33.6108333333333,150.742222222222,NA,"yes","Other",2015,1.09890109913579,1.91397849481905,3.42588235220951,1.96695307316337,"fail",0.328706243204978,1.45019503421934,0.0217399865864827,1.21772432607792,0.306966256618495,1.10350547170275,8,0.5,0.707106781186548,0.5216
"5","Aupic_Samain_2021a","Aupic_Samain_2021a_1","abundance","abundance",FALSE,TRUE,TRUE,"Acari","Winter","drought","undisturbed vs disturbed",5.307692308,3.369230769,1.015384615,0.830769231,"SE",30,30,"aboveground",-30,1460,"France","Medium validity","mesofauna","Acari","Acari",1.1158,4.5503104789992,5.56149058179199,43.9652777777778,5.71166666666667,"predator","yes","Other",2021,1.3505487723982,1.04781706607398,8.0440771322008,10.3681442569702,"pass",0.442371664296816,0.098655736336108,0.454472687341323,0.0973967530194058,0.0121010230445068,0.312084528644734,60,0.0666666666666667,0.258198889747161,0.6437
"6","Aupic_Samain_2021a","Aupic_Samain_2021a_2","abundance","abundance",FALSE,TRUE,TRUE,"Acari","Winter","drought","undisturbed vs disturbed",4.2,8.446153846,0.692307692,1.8,"SE",30,30,"aboveground",-30,4745,"France","Medium validity","mesofauna","Acari","Acari",1.1158,9.85900603509299,3.79192539642739,43.7458333333333,116.972222222222,"predator","yes","Other",2021,1.16727758158965,0.902839380101759,9.30705657961432,12.0330578565877,"pass",-0.707750279743343,0.0732887871368754,-0.698626646306356,0.0725885299581436,0.00912363343698752,0.269422586206397,60,0.0666666666666667,0.258198889747161,0.2954
"7","Aupic_Samain_2021a","Aupic_Samain_2021a_3","abundance","abundance",FALSE,TRUE,TRUE,"Acari","Winter","drought","undisturbed vs disturbed",1.338461538,1.107692308,0.461538462,0.230769231,"SE",30,30,"aboveground",-30,2555,"France","Medium validity","mesofauna","Acari","Acari",1.1158,1.2639751339682,2.52795026793641,56.55,13.2166666666667,"predator","yes","Other",2021,1.14108866229322,1.88869847669572,9.52066115014876,5.75206610796694,"pass",0.226993642360233,0.166314455696078,0.189241999015923,0.162308842369562,0.0377516433443101,0.402875715785354,60,0.0666666666666667,0.258198889747161,1.5437
"8","Aupic_Samain_2021a","Aupic_Samain_2021a_1","abundance","abundance",FALSE,TRUE,TRUE,"Collembola","Winter","drought","undisturbed vs disturbed",10.15151515,7.272727273,1.363636364,1.212121212,"SE",30,30,"aboveground",-30,1460,"France","Medium validity","mesofauna","Collembola","Collembola",1.0651,6.63906130242902,7.46894396797126,43.9652777777778,5.71166666666667,"detritivore-fungivore","yes","Other",2021,0.912870929049757,0.735746719342802,11.9008264479174,14.7658402142443,"pass",0.328624773328314,0.0460961842956063,0.333491608296321,0.0458218856042621,0.00486683496800783,0.214060471839763,60,0.0666666666666667,0.258198889747161,0.6437
"9","Aupic_Samain_2021a","Aupic_Samain_2021a_2","abundance","abundance",FALSE,TRUE,TRUE,"Collembola","Winter","drought","undisturbed vs disturbed",14.09090909,30.45454545,2.272727273,10,"SE",30,30,"aboveground",-30,4745,"France","Medium validity","mesofauna","Collembola","Collembola",1.0651,54.7722557505166,12.448239944793,43.7458333333333,116.972222222222,"detritivore-fungivore","yes","Other",2021,1.79849198013614,0.883423480010048,6.04057099834711,12.2975206588879,"pass",-0.811607687447432,0.136909111332169,-0.770705414821082,0.133833681588236,0.0409022726263493,0.365832860181034,60,0.0666666666666667,0.258198889747161,0.2954
"10","Aupic_Samain_2021a","Aupic_Samain_2021a_3","abundance","abundance",FALSE,TRUE,TRUE,"Collembola","Winter","drought","undisturbed vs disturbed",13.03030303,23.18181818,1.96969697,3.03030303,"SE",30,30,"aboveground",-30,2555,"France","Medium validity","mesofauna","Collembola","Collembola",1.0651,16.5976532560725,10.7884746191858,56.55,13.2166666666667,"detritivore-fungivore","yes","Other",2021,0.715977199337716,0.827952703352116,15.1735537193355,13.1214240281911,"pass",-0.573209252933476,0.0401411622805576,-0.576090625083752,0.0399376342986518,0.00288137215027651,0.19984402492607,60,0.0666666666666667,0.258198889747161,1.5437
